vin,axle,side,pad_thickness_mm,measured_at
WDB9634031L123456,1,left,12.4,2026-01-14
WDB9634031L123456,1,right,11.9,2026-01-14
WDB9634031L123456,2,left,4.2,2026-01-14
WDB9634031L123456,2,right,3.1,2026-01-14
WMA06XZZ7BM654321,1,left,19.8,2026-02-03
WMA06XZZ7BM654321,1,right,19.6,2026-02-03
WMA06XZZ7BM654321,2,left,17.2,2026-02-03
WMA06XZZ7BM654321,2,right,16.9,2026-02-03
WMA06XZZ7BM654321,3,right,1.8,2026-02-03
WMA06XZZ7BM654321,3,left,2.4,2026-02-03
VF3XXXXXXXX778899,1,left,8.0,2026-02-11
VF3XXXXXXXX778899,1,right,7.9,2026-02-11
VF3XXXXXXXX778899,2,left,9.6,2026-02-11
VF3XXXXXXXX778899,2,right,10.1,2026-02-11
YS2R4X20005399401,1,left,15.3,2026-01-29
YS2R4X20005399401,1,right,abc,2026-01-29
YS2R4X20005399401,2,left,14.8,2026-01-29
YS2R4X20005399401,2,right,-2.0,2026-01-29
XLRTE47MS0E123987,1,left,4.0,2026-03-02
XLRTE47MS0E123987,1,right,6.5,2026-03-02
XLRTE47MS0E123987,2,left,22.5,2026-03-02
XLRTE47MS0E123987,2,right,5.4
ZFA25000002654311,1,left,20.0,2026-03-17
ZFA25000002654311,1,right,19.9,2026-03-17
ZFA25000002654311,2,left,18.7,2026-03-17
ZFA25000002654311,2,right,18.5,2026-03-17
WDB9634031L123456,3,left,9.7,2026-01-14
WDB9634031L123456,3,right,10.3,2026-01-14
VF3XXXXXXXX778899,3,left,3.9,2026-02-11
VF3XXXXXXXX778899,3,right,12.2,2026-02-11
