vin;axle;side;value;unit;date;mechanic
WDB9634031L123456;1;left;14,7;mm;18.05.2026;HM
WDB9634031L123456;1;right;13,8;mm;18.05.2026;HM
WDB9634031L123456;2;left;11,4;mm;18.05.2026;HM
WDB9634031L123456;2;right;6,2;mm;2026-05-18;HM
WDB9634031L123456;3;left;0,314;in;18.05.2026;HM
WDB9634031L123456;3;right;0,344;in;18.05.2026;HM
vin: wjmm1vns40c123456 ;1;left;16,4;mm;03.06.2026;PK
 WJMM1VNS40C123456;1;right;16,0;mm;03.06.2026;PK
WJMM1VNS40C123456;2;left;7,7;mm;03.06.2026;PK
WDB9634031L999999;1;left;12,4;mm;03.06.2026;PK
ZFA25000002654311;3;left;15,2;mm;03.06.2026;PK
XLRTE47MS0E123987;1;left;n.a.;mm;03.06.2026;PK
YV2AS02A8EB712345;2;right;34,5;mm;03.06.2026;PK
